Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,83704
28.0,Female,Master's Degree,Data Analyst,4.0,62566
45.0,Male,PhD,Director,15.0,446568
36.0,Female,Bachelor's Degree,Account Executive,7.0,25240
52.0,Male,Master's Degree,Senior Director,20.0,1087851
29.0,Male,Bachelor's Degree,Data Analyst,5.0,44617
42.0,Female,Master's Degree,Senior Manager,12.0,255706
31.0,Male,Bachelor's Degree,Sales Manager,8.0,107541
26.0,Female,Bachelor's Degree,Marketing Specialist,3.0,20993
38.0,Male,PhD,Senior Data Scientist,10.0,296107
29.0,Male,Master's Degree,Software Engineer,3.0,85166
48.0,Female,Bachelor's Degree,Senior Manager,7.5,81882
35.0,Male,Bachelor's Degree,Senior Data Analyst,6.0,62288
40.0,Female,Master's Degree,Senior Manager,12.0,204456
27.0,Male,Bachelor's Degree,Customer Service Rep,2.0,17533
44.0,Male,Bachelor's Degree,Senior Manager,12.0,145156
33.0,Female,Master's Degree,Senior Manager,7.5,125321
39.0,Male,PhD,Lead Software Engineer,12.0,243723
25.0,Female,Bachelor's Degree,Data Entry Clerk,0.0,7561
51.0,Male,Bachelor's Degree,Sales Director,18.0,76053
34.0,Female,Master's Degree,Data Analyst,5.0,98775
47.0,Male,Master's Degree,Operations Director,19.0,882178
30.0,Male,Bachelor's Degree,IT Support,2.0,39208
36.0,Female,Bachelor's Degree,HR Manager,9.0,44863
41.0,Male,Master's Degree,Director,15.0,222893
28.0,Female,Bachelor's Degree,Social Media Specialist,3.0,42974
37.0,Female,Master's Degree,Director,20.0,98604
24.0,Male,Bachelor's Degree,Software Engineer,3.0,36734
43.0,Female,PhD,Senior Consultant,15.0,104053
33.0,Male,Master's Degree,Senior Marketing Specialist,6.0,66724
50.0,Male,Bachelor's Degree,CEO,25.0,1723101
31.0,Female,Bachelor's Degree,Accountant,4.0,37341
29.0,Male,Master's Degree,Senior Data Scientist,10.0,180116
39.0,Female,Bachelor's Degree,Marketing Manager,10.0,55399
46.0,Male,PhD,Director,20.0,432768
